,title,subtitle,link
0,PARTY ANIMALS,Inside Lionesses' wild 4am celebration with champagne & cocktails,https://www.thesun.co.uk/sport/football/19382833/england-hotel-celebrations-party-euro-2022-win/
1,BAILL-ING OUT,Man Utd ace Bailly set to snub Mourinho reunion in favour of Sevilla switch,https://www.thesun.co.uk/sport/19386936/man-utd-transfer-eric-bailly-sevilla-roma/
2,CHRIS CHASE,Eriksen reveals he joined Man Utd at FOURTH time of asking over Spurs loyalty,https://www.thesun.co.uk/sport/19386599/christian-eriksen-man-utd-transfer-tottenham-fourth/
3,'LIKE FLINTOFF AFTER THE ASHES',Fans in hysterics as Bronze parties in goggles after Euros,https://www.thesun.co.uk/sport/19385671/england-euros-celebrations-lucy-bronze-goggles/
4,JOR BLIMEY,Jorge Mendes 'doing all he can to get Cristiano Ronaldo out of Man Utd',https://www.thesun.co.uk/sport/19386428/jorge-mendes-cristiano-ronaldo-man-utd-transfer/
5,GERMAN REF BLAST,Furious Germany claim they should have had penalty and say England cheated,https://www.thesun.co.uk/sport/19383050/england-euro-final-lionesses-germany-angry-handball/
6,ROYAL APPOINTMENT,Emotional Prince William hugs England heroes after Euro 2022 win,https://www.thesun.co.uk/sport/football/19386882/prince-william-england-euro-final/
7,GREAT SCOTT,Alex Scott breaks down in tears on live TV as she celebrates Euro 2022 win,https://www.thesun.co.uk/sport/football/19379908/england-euros-alex-scott-crying-twitter-reaction/
8,THE WRIGHT STUFF,Arsenal icon Wright left speechless as England Women win Euro 2022,https://www.thesun.co.uk/sport/football/19383921/arsenal-wright-england-germany-euro-2022-final/
9,CAUSE FOR CELEBRATION,Fans demand extra Bank Holiday after England Lionesses win Euro 2022,https://www.thesun.co.uk/sport/19381992/bank-holiday-england-lionesses-euro-2022/
10,HART STRINGS,Moment Celtic star Joe Hart leaves Hoops fan in tears of joy at meeting hero,https://www.thesun.co.uk/sport/19384085/celtic-goalkeeper-joe-hart-hoops-fan-hero/
